# w      Rpp                     Rps                     Rsp                     Rss
02.45    1.06881224228182e+03    5.82344161372439e+00    4.15779168472028e-02    6.10418771721183e-01
02.46    1.08723881145522e+03    4.80479841604553e+00    2.74662470666089e-02    5.00072851151287e-01
02.47    1.10508754828735e+03    3.93034590971376e+00    1.94817132717003e-02    4.06055937736144e-01
02.48    1.12171770319799e+03    3.19902155782776e+00    1.66208458571180e-02    3.27984758880093e-01
02.49    1.13654566680807e+03    2.60332554641425e+00    1.76707561622140e-02    2.64810022707082e-01
02.50    1.14898832202452e+03    2.13084381316229e+00    2.12788086581161e-02    2.14990117733730e-01
02.51    1.15855190527075e+03    1.76615611087605e+00    2.60669631687279e-02    1.76707382387114e-01
02.52    1.16482154210526e+03    1.49274955455787e+00    3.07758837878137e-02    1.48073073821339e-01
02.53    1.16745989922407e+03    1.29476923896384e+00    3.44013220487377e-02    1.27309112518464e-01
02.54    1.16616908022012e+03    1.15815110761956e+00    3.62946934808788e-02    1.12858460303112e-01
02.55    1.16072601341688e+03    1.07114304435915e+00    3.61979364239237e-02    1.03431988462497e-01
02.56    1.15088637223837e+03    1.02473162186040e+00    3.42049480546600e-02    9.80400291480653e-02
02.57    1.13647327631874e+03    1.01214810731628e+00    3.06759716224390e-02    9.59369779332419e-02
02.58    1.11733167501370e+03    1.02887111282143e+00    2.61164953205773e-02    9.66117373330416e-02
02.59    1.09341899765838e+03    1.07188360756063e+00    2.10669382314592e-02    9.97106719235119e-02
02.60    1.06479197378372e+03    1.13949890612278e+00    1.60165280594411e-02    1.05015963834637e-01
02.61    1.03165963801061e+03    1.23084725124509e+00    1.13513630263945e-02    1.12393861072821e-01
02.62    9.94395497966927e+02    1.34556149747420e+00    7.34266819196579e-03    1.21764583855150e-01
02.63    9.53529405380171e+02    1.48372265452303e+00    4.15384558179138e-03    1.33096714921499e-01
02.64    9.09742826002414e+02    1.64563804661081e+00    1.86630786473129e-03    1.46387378422802e-01
02.65    8.63794430213147e+02    1.83139092919523e+00    5.06366395590134e-04    1.61622740350110e-01
02.66    8.16523110954091e+02    2.04101550296839e+00    6.92978657871961e-05    1.78795999772271e-01
02.67    7.68784533762816e+02    2.27395001994782e+00    5.38389615050804e-04    1.97860343022292e-01
02.68    7.21402966211925e+02    2.52888822794579e+00    1.89671399164719e-03    2.18718034661965e-01
02.69    6.75170360005629e+02    2.80344863039616e+00    4.13418341153725e-03    2.41193106076090e-01
02.70    6.30816259290221e+02    3.09396888482997e+00    7.25092441505768e-03    2.65014090423731e-01
02.71    5.88996239689404e+02    3.39525688750452e+00    1.12566793100738e-02    2.89791253977917e-01
02.72    5.50290749080967e+02    3.70039036724772e+00    1.61690407887317e-02    3.14995546803422e-01
02.73    5.15191611941784e+02    4.00162210732803e+00    2.20100018627210e-02    3.40029630050437e-01
02.74    4.84149524704400e+02    4.29024584180357e+00    2.88003145765956e-02    3.64210819001748e-01
02.75    4.57512885450131e+02    4.55741100999897e+00    3.65518651573151e-02    3.86828137751614e-01
02.76    4.35575530046485e+02    4.79530048221901e+00    4.52581068334464e-02    4.07238284368244e-01
02.77    4.18522761383969e+02    4.99733925813816e+00    5.48806967144002e-02    4.24875764306699e-01
02.78    4.06461312613990e+02    5.15924335622893e+00    6.53386392468607e-02    4.39345191074148e-01
02.79    3.99358843961447e+02    5.27921139236061e+00    7.64910243701573e-02    4.50439020391869e-01
02.80    3.97062406151016e+02    5.35784401916985e+00    8.81299227881734e-02    4.58141358010766e-01
02.81    3.99273993243756e+02    5.39790273342391e+00    9.99719223394065e-02    4.62615915509899e-01
02.82    4.05553600265435e+02    5.40369488141666e+00    1.11657438554629e-01    4.64163572029384e-01
02.83    4.15342761194699e+02    5.38030527426249e+00    1.22768784022538e-01    4.63163074292675e-01
02.84    4.28003679076147e+02    5.33276202791000e+00    1.32851022156874e-01    4.60005715120550e-01
02.85    4.42833853503664e+02    5.26544497744838e+00    1.41449360708789e-01    4.55040994869035e-01
02.86    4.59139367988108e+02    5.18131373628902e+00    1.48145411712112e-01    4.48510538702756e-01
02.87    4.76253646027639e+02    5.08185163915918e+00    1.52598262713355e-01    4.40539622079266e-01
02.88    4.93582697009136e+02    4.96684534356932e+00    1.54577664560136e-01    4.31113579924507e-01
02.89    5.10619879062011e+02    4.83464413045562e+00    1.53985202915438e-01    4.20096703087502e-01
