# w(eV)  Rpp                     Rps                     Rsp                     Rss
01.72    1.01481484443212e+30    1.09778880693820e+30    3.43985930754063e+28    1.54047017096974e+29
01.73    1.03693688867368e+30    1.13012364773077e+30    3.76241341224455e+28    1.58219654837659e+29
01.74    1.06180110503259e+30    1.15699954299164e+30    4.11375360883389e+28    1.61606338181222e+29
01.75    1.08993175141720e+30    1.17715719466531e+30    4.49003046364603e+28    1.64036813766800e+29
01.76    1.12060219999673e+30    1.18917235017126e+30    4.88513669858997e+28    1.65318291406944e+29
01.77    1.15219579888171e+30    1.19166458988364e+30    5.29096906095801e+28    1.65268730652104e+29
01.78    1.18229284399295e+30    1.18328147489478e+30    5.69649307046590e+28    1.63709269866384e+29
01.79    1.20845466441742e+30    1.16308663873793e+30    6.08876879918551e+28    1.60522450031025e+29
01.80    1.22875414230585e+30    1.13065422884355e+30    6.45327711197913e+28    1.55661850150358e+29
01.81    1.24230551605313e+30    1.08628953504808e+30    6.77505721062332e+28    1.49181605896994e+29
01.82    1.24945249518494e+30    1.03112373371325e+30    7.04036197308223e+28    1.41248854885656e+29
01.83    1.25215632826622e+30    9.67117701738558e+29    7.23856060346910e+28    1.32144400462797e+29
01.84    1.25378459465874e+30    8.96837078103442e+29    7.36215823851484e+28    1.22226648920722e+29
01.85    1.25870391574223e+30    8.23296512229931e+29    7.40820587818225e+28    1.11912715979625e+29
01.86    1.27209745341768e+30    7.49609623335621e+29    7.37797245852553e+28    1.01629300722403e+29
01.87    1.29897400395898e+30    6.78617196204756e+29    7.27555820873707e+28    9.17605474572152e+28
01.88    1.34388479516946e+30    6.12637436078562e+29    7.10764471605572e+28    8.26169256214255e+28
01.89    1.41030964836514e+30    5.53243029772937e+29    6.88242236829861e+28    7.44054493317076e+28
01.90    1.50017978887086e+30    5.01138154801994e+29    6.60833632138875e+28    6.72135935855178e+28
01.91    1.61375377199048e+30    4.56235636329898e+29    6.29416308334461e+28    6.10219286945110e+28
01.92    1.74987367531023e+30    4.17852352663789e+29    5.94909739254781e+28    5.57318160434675e+28
01.93    1.90623421317498e+30    3.84927840232867e+29    5.58268793592067e+28    5.11954931800466e+28
01.94    2.07976647593947e+30    3.56284145312860e+29    5.20406370629171e+28    4.72503403237098e+28
01.95    2.26746814053334e+30    3.30868496793930e+29    4.82279752441460e+28    4.37531140881917e+28
01.96    2.46652717750160e+30    3.07839128783159e+29    4.44665878379708e+28    4.05887398448310e+28
01.97    2.67499455131594e+30    2.86631870923316e+29    4.08240859670584e+28    3.76810137138798e+28
01.98    2.89132074557893e+30    2.66869971801783e+29    3.73388318622517e+28    3.49782433562300e+28
01.99    3.11458733364709e+30    2.48313496566684e+29    3.40269025890071e+28    3.24477483482605e+28
02.00    3.34365158623931e+30    2.30721843606111e+29    3.08780669015418e+28    3.00568541038473e+28
02.01    3.57683914451876e+30    2.13823450073027e+29    2.78644079315943e+28    2.77693509501293e+28
02.02    3.81127715577754e+30    1.97268792147224e+29    2.49471130125460e+28    2.55391701739393e+28
02.03    4.04264907265525e+30    1.80691407394183e+29    2.20918085214505e+28    2.33189909977338e+28
02.04    4.26452266410391e+30    1.63746504036083e+29    1.92746381722024e+28    2.10644422816271e+28
02.05    4.46909845440967e+30    1.46234516550045e+29    1.64958897089521e+28    1.87506909179986e+28
02.06    4.64752389705066e+30    1.28151158332641e+29    1.37831600620624e+28    1.63780484767877e+28
02.07    4.79045109404742e+30    1.09747967779219e+29    1.11922399099124e+28    1.39794525802319e+28
02.08    4.88922729248374e+30    9.15028664669170e+28    8.80142443063740e+27    1.16162189752907e+28
02.09    4.93668121721100e+30    7.40384696181605e+28    6.69916126044217e+27    9.36710495752853e+27
02.10    4.92820040950602e+30    5.80001355875698e+28    4.97014991062830e+27    7.31266057337057e+27
02.11    4.86227025892142e+30    4.39383990964640e+28    3.68091181990835e+27    5.52037863874837e+27
02.12    4.74120548541605e+30    3.22458813714789e+28    2.86918659719284e+27    4.03698853863740e+27
02.13    4.57098308357459e+30    2.31766065528479e+28    2.53950314698029e+27    2.89115500080563e+27
02.14    4.36159943329259e+30    1.69503221548047e+28    2.66472713045953e+27    2.10676115129628e+27
02.15    4.12660367340190e+30    1.38924093318795e+28    3.19255949285162e+27    1.72031907450536e+27
02.16    3.88291307706909e+30    1.45378540897178e+28    4.05345487863724e+27    1.79351418423891e+27
02.17    3.64946918215416e+30    1.96310368827663e+28    5.16724762620348e+27    2.41265489519288e+27
02.18    3.44720879273691e+30    2.99870799839615e+28    6.44852387969152e+27    3.67121781016130e+27
02.19    3.29693360913355e+30    4.62319208946633e+28    7.80898955820051e+27    5.63790793338590e+27
02.20    3.21843833710452e+30    6.84973805440459e+28    9.15939709422894e+27    8.31999567541423e+27
02.21    3.22866686894520e+30    9.61817362610687e+28    1.04141420941564e+28    1.16356012062688e+28
02.22    3.34023983802251e+30    1.27862551312455e+29    1.14957845443108e+28    1.54049061585841e+28
02.23    3.55971049891108e+30    1.61421200807454e+29    1.23420090959786e+28    1.93671915912806e+28
02.24    3.88688811098187e+30    1.94342526321743e+29    1.29118465191007e+28    2.32185482672995e+28
02.25    4.31413788669368e+30    2.24137820093290e+29    1.31885707754653e+28    2.66631650612817e+28
02.26    4.82680168903825e+30    2.48745019207266e+29    1.31800491846827e+28    2.94609868859789e+28
02.27    5.40473441335166e+30    2.66820414910750e+29    1.29142840448310e+28    3.14612085048436e+28
02.28    6.02355679984244e+30    2.77853401624376e+29    1.24322353039165e+28    3.26136347835333e+28
02.29    6.65764554844870e+30    2.82109456421333e+29    1.17811169228436e+28    3.29603854722035e+28
02.30    7.28214256138900e+30    2.80408745041928e+29    1.10066472877424e+28    3.26074676173434e+28
02.31    7.87551953562192e+30    2.73888408042516e+29    1.01495060747338e+28    3.16962626296797e+28
02.32    8.42117165223927e+30    2.63734603093561e+29    9.24305745552406e+27    3.03715427454591e+28
02.33    8.90820266888128e+30    2.51013875497129e+29    8.31326655066510e+27    2.87618437826420e+28
02.34    9.33174542535606e+30    2.36559371043079e+29    7.38007517645480e+27    2.69667691965054e+28
02.35    9.69246557024577e+30    2.20966293021312e+29    6.45950365887831e+27    2.50570390506907e+28
02.36    9.99650666344535e+30    2.04640860645587e+29    5.56589579860014e+27    2.30810529373413e+28
02.37    1.02525328400047e+31    1.87846576472842e+29    4.71211717955506e+27    2.10699156042189e+28
02.38    1.04717620175101e+31    1.70787319617481e+29    3.91071348100238e+27    1.90478074396694e+28
02.39    1.06659945926727e+31    1.53655735973915e+29    3.17310525414393e+27    1.70370637490683e+28
02.40    1.08463253099536e+31    1.36666678879435e+29    2.50930455006929e+27    1.50621768394868e+28
02.41    1.10216026201474e+31    1.20058983674790e+29    1.92682062664899e+27    1.31496048478642e+28
02.42    1.11984085710271e+31    1.04098791860944e+29    1.43063241825665e+27    1.13282951250562e+28
02.43    1.13802741761165e+31    8.90555262303323e+28    1.02273130021143e+27    9.62678580030702e+27
02.44    1.15677967676282e+31    7.51758529750054e+28    7.02348865248007e+26    8.07041304611762e+27
02.45    1.17583325786458e+31    6.26623891081179e+28    4.65944413605546e+26    6.67898181082580e+27
02.46    1.19475620374901e+31    5.16551331042740e+28    3.07338002285676e+26    5.46497180759672e+27
02.47    1.21295580321497e+31    4.22151740012094e+28    2.17656286835829e+26    4.43198330653143e+27
02.48    1.22973011520027e+31    3.43275504594149e+28    1.85398351635688e+26    3.57527005836801e+27
02.49    1.24444620331061e+31    2.79081478640834e+28    1.96788349497629e+26    2.88282928523322e+27
02.50    1.25647515870270e+31    2.28202689654396e+28    2.36574037778139e+26    2.33732809943882e+27
02.51    1.26529059011768e+31    1.88953759578226e+28    2.89315344649073e+26    1.91849778189530e+27
02.52    1.27045569424754e+31    1.59537374723912e+28    3.40988964774378e+26    1.60538170416875e+27
02.53    1.27162201756313e+31    1.38232425433939e+28    3.80490105055563e+26    1.37831746830964e+27
02.54    1.26848606989533e+31    1.23514816221387e+28    4.00720422099775e+26    1.22012684720245e+27
02.55    1.26082901065094e+31    1.14112524485485e+28    3.98938958187035e+26    1.11661225701237e+27
02.56    1.24840911580972e+31    1.09049804205962e+28    3.76298016950936e+26    1.05687753845507e+27
02.57    1.23106085442768e+31    1.07593548560254e+28    3.36868434557169e+26    1.03271410158761e+27
02.58    1.20864272947937e+31    1.09252284994455e+28    2.86283850904326e+26    1.03847911593626e+27
02.59    1.18113651962390e+31    1.13696311683897e+28    2.30519226183845e+26    1.07025321462452e+27
02.60    1.14863166378003e+31    1.20738500962387e+28    1.74946396352117e+26    1.12559737496503e+27
02.61    1.11138074374253e+31    1.30279282805044e+28    1.23773064337762e+26    1.20298933979322e+27
02.62    1.06981170078066e+31    1.42273147218055e+28    7.99260218036600e+25    1.30149763289111e+27
02.63    1.02451705118234e+31    1.56722745882826e+28    4.51398201551608e+25    1.42071881094522e+27
02.64    9.76247278882527e+30    1.73655416782970e+28    2.02484415051597e+25    1.56056428076557e+27
02.65    9.25829234252238e+30    1.93075692495376e+28    5.48529809494132e+24    1.72083854956084e+27
02.66    8.74169328685171e+30    2.14984068649821e+28    7.49575032569088e+23    1.90143345549834e+27
02.67    8.22184911656028e+30    2.39319534327441e+28    5.81552703367448e+24    2.10182839949777e+27
02.68    7.70753267192431e+30    2.65944291176710e+28    2.04612787628301e+25    2.32097775338758e+27
02.69    7.20711570034134e+30    2.94609300355960e+28    4.45455499278762e+25    2.55702425868101e+27
02.70    6.72825847410378e+30    3.24932981053372e+28    7.80441146817094e+25    2.80711932300592e+27
02.71    6.27779774543010e+30    3.56375193266092e+28    1.21043269254253e+26    3.06718358073924e+27
02.72    5.86174551708314e+30    3.88216085424910e+28    1.73720705149949e+26    3.33168377438140e+27
02.73    5.48515668032793e+30    4.19650634401351e+28    2.36308172265971e+26    3.59438059199195e+27
02.74    5.15265088052623e+30    4.49774107576280e+28    3.09030824895038e+26    3.84814458368161e+27
02.75    4.86776122802602e+30    4.77666047849650e+28    3.92024333404382e+26    4.08554466476973e+27
02.76    4.63345696722183e+30    5.02513059196908e+28    4.85231476774975e+26    4.29985524102232e+27
02.77    4.45156911728536e+30    5.23629393876755e+28    5.88256677031718e+26    4.48514915827356e+27
02.78    4.32311733633966e+30    5.40566766483213e+28    7.00247945448756e+26    4.63727008006466e+27
02.79    4.24766173848749e+30    5.53134018044362e+28    8.19708599956300e+26    4.75401343106798e+27
02.80    4.22350032316060e+30    5.61389461820213e+28    9.44419024618498e+26    4.83517300245707e+27
02.81    4.24740382873195e+30    5.65616385677985e+28    1.07134387992160e+27    4.88242070506676e+27
02.82    4.31464472012755e+30    5.66259717256286e+28    1.19662422349007e+27    4.89886960968765e+27
02.83    4.41924166994420e+30    5.63846221023038e+28    1.31577116550235e+27    4.88845518616484e+27
02.84    4.55437788814182e+30    5.58898200487843e+28    1.42389334307503e+27    4.85525889901851e+27
02.85    4.71254960945752e+30    5.51871180628972e+28    1.51609862387689e+27    4.80293163686194e+27
02.86    4.88635006393805e+30    5.43073430684848e+28    1.58788772648433e+27    4.73400212045058e+27
02.87    5.06866882145397e+30    5.32659763893143e+28    1.63559671621196e+27    4.64978446751307e+27
02.88    5.25317428656443e+30    5.20608173812634e+28    1.65675455478371e+27    4.55012734329312e+27
